bt_mac_scanner;lat;lon;accuracy;provider;timestamp
0efb1646259a14edc80047db6e03ec38;55.6172696359813;12.0910053018065;24;gps;2012-06-30 14:12:59
e42f04d4a6b0e9906dcda43d1ac8fda2;55.8913658;11.5388954;26;network;2012-06-30 14:13:03
e42f04d4a6b0e9906dcda43d1ac8fda2;55.89142955;11.53915932;25;gps;2012-06-30 14:13:10
654e258a3bc21028fd92af20c2a286fa;55.7091955;11.7476048;1868;network;2012-06-30 14:14:08
6922773dad726249fea6280b7a9382e9;55.7167214;12.4746408;1233;network;2012-06-30 14:14:13
6690bce5dfdfc4cc1bd4ed75c653c143;55.6104941;12.0465235;1649;network;2012-06-30 14:14:16
92d6484db36b9eb2abb1030bf973372c;55.6125251;12.0590447;1937;network;2012-06-30 14:14:19
6690bce5dfdfc4cc1bd4ed75c653c143;55.6103335507214;12.0574102923274;10;gps;2012-06-30 14:14:23
dfaf19456a591adac3f279a8b9528990;56.0239302;12.1855339;1220;network;2012-06-30 14:15:05
dfaf19456a591adac3f279a8b9528990;56.02385914;12.18065485;46;gps;2012-06-30 14:15:26
a96e4ec19acb4697234b1d52d1e5263b;55.6187697908959;12.0678042466943;32;gps_cached;2012-06-30 14:16:19
a96e4ec19acb4697234b1d52d1e5263b;55.6187697908959;12.0678042466943;32;gps;2012-06-30 14:16:19
9fb011524993c741c20ab05910eefc7f;55.6245875;12.0623662;1258;network;2012-06-30 14:16:21
9fb011524993c741c20ab05910eefc7f;55.61846825;12.06647583;25.2982215881348;gps;2012-06-30 14:16:28
a96e4ec19acb4697234b1d52d1e5263b;55.7006673;9.2052718;37;network;2012-06-30 14:17:02
249ea829217efe21820483384a0e3478;59.2556693;10.9891806;24;network;2012-06-30 14:17:31
249ea829217efe21820483384a0e3478;59.25568669;10.98930341;26;gps;2012-06-30 14:17:35
c872634fe3c909d967890afe5aef478a;55.6171264648438;12.090368270874;27.2150688171387;gps;2012-06-30 14:18:01
a0a01441b945a253fd479ea531292bac;55.6225187;11.9909816;1885;network;2012-06-30 14:18:39
a0a01441b945a253fd479ea531292bac;55.6425533;12.11553679;17;gps;2012-06-30 14:18:40
0310a07877058eca75a6f739d63b66df;55.6787582;12.5058575;30;network;2012-06-30 14:19:41
0310a07877058eca75a6f739d63b66df;55.6789004104212;12.5057908985764;10;gps;2012-06-30 14:19:46
c872634fe3c909d967890afe5aef478a;55.6155414;12.097475;1489;network;2012-06-30 14:21:42
6922773dad726249fea6280b7a9382e9;55.7062918;12.4802934;1166;network;2012-06-30 14:22:01
ff1857a26104cf0a28145763e67facc3;55.7637786;12.4775833;20;network;2012-06-30 14:22:38
6922773dad726249fea6280b7a9382e9;55.71018368;12.47885677;41;gps;2012-06-30 14:23:18
3377dc36920a0ba455cd569c2059f043;55.6244742;12.0584545;1487;network;2012-06-30 14:23:30
ec061d9f8a97730da11d99ca381aa72f;63.31754723;14.66358129;3;gps;2012-06-30 14:24:09
a0a01441b945a253fd479ea531292bac;55.6225187;11.9909816;1885;network;2012-06-30 14:24:41
3e484a0ce8191acc3ede0acbe08431cb;56.2430986;12.8656793;1558;network;2012-06-30 14:25:48
3e484a0ce8191acc3ede0acbe08431cb;56.2430986;12.8656793;1558;network;2012-06-30 14:25:51
0efb1646259a14edc80047db6e03ec38;55.6173029529714;12.0910429914294;24;gps;2012-06-30 14:26:11
e42f04d4a6b0e9906dcda43d1ac8fda2;55.8913634;11.5389028;27;network;2012-06-30 14:26:17
e42f04d4a6b0e9906dcda43d1ac8fda2;55.89143735;11.53922296;16;gps;2012-06-30 14:26:22
9fb011524993c741c20ab05910eefc7f;55.6248693;12.0548358;1581;network;2012-06-30 14:26:53
9fb011524993c741c20ab05910eefc7f;55.61848103;12.06651043;11.3137083053589;gps;2012-06-30 14:26:57
249ea829217efe21820483384a0e3478;59.2556238;10.9892735;23;network;2012-06-30 14:27:07
249ea829217efe21820483384a0e3478;59.25573028;10.98916182;12;gps;2012-06-30 14:27:13
6690bce5dfdfc4cc1bd4ed75c653c143;55.6111357;12.0536385;1850;network;2012-06-30 14:27:29
6690bce5dfdfc4cc1bd4ed75c653c143;55.6123977201059;12.0646841917187;5;gps;2012-06-30 14:27:30
0efb1646259a14edc80047db6e03ec38;55.6172035347752;12.0909678102693;32;gps;2012-06-30 14:29:19
6922773dad726249fea6280b7a9382e9;55.71761215;12.50772465;819;network;2012-06-30 14:29:50
3e484a0ce8191acc3ede0acbe08431cb;56.2430986;12.8656793;1558;network;2012-06-30 14:30:04
0310a07877058eca75a6f739d63b66df;55.6787189;12.5058692;30;network;2012-06-30 14:30:29
0310a07877058eca75a6f739d63b66df;55.6790762627497;12.5058701913804;5;gps;2012-06-30 14:30:35
a0a01441b945a253fd479ea531292bac;55.6225187;11.9909816;1885;network;2012-06-30 14:30:41
