bt_mac_scanner;bt_mac_discovered;timestamp;discoveryTime 
ff1857a26104cf0a28145763e67facc3;eef967ce85714cdf89dbd08214dce334;"2012-07-05 12:10:15";20 
ff1857a26104cf0a28145763e67facc3;6ef8491f053cdc04802b35583254e237;"2012-07-05 12:10:15";20 
f15273e59b269cd6d68657b2416c1aba;44de7240bece89ed4a0c47bc78c4ec7c;"2012-07-05 12:11:26";36 
5488e17db9e015b67c541653c5adbf1d;981330bbb5afb598fd326cc90848eef6;"2012-07-05 12:15:46";21 
3af792901928260d69a2d5a284a8ee23;e54db79754537c3ef084290618cde10e;"2012-07-05 12:16:47";36 
938b4a1742b8f37eed1428f3003f4f71;c2de5082d7d5a75d07f4e2d797df29ce;"2012-07-05 12:16:50";41 
938b4a1742b8f37eed1428f3003f4f71;01a14a922cd5b330cdcf369d282647c7;"2012-07-05 12:16:50";41 
f9b58c8ef39ad0da343027df388d58c2;6c3e226b4d4795d518ab341b0824ec29;"2012-07-05 12:17:48";32 
74631fcad6dce90ce3afe3e268de9c16;35dc0b3d9aba751abd805822ca2ba593;"2012-07-05 12:19:08";93 
74631fcad6dce90ce3afe3e268de9c16;c13750e3e37ff688d50b84a594bba6fe;"2012-07-05 12:19:08";93 
74631fcad6dce90ce3afe3e268de9c16;9e44b0f3202a9c997c7803cf414028fb;"2012-07-05 12:19:08";93 
74631fcad6dce90ce3afe3e268de9c16;ce0c951f77bbec8c166b1ae4ddf15ad0;"2012-07-05 12:19:08";93 
74631fcad6dce90ce3afe3e268de9c16;1004ff2944fab91a8164fdb295263cd5;"2012-07-05 12:19:08";93 
74631fcad6dce90ce3afe3e268de9c16;81bece3a34990c1f2aec7cb6c75bfa42;"2012-07-05 12:19:08";93 
74631fcad6dce90ce3afe3e268de9c16;1ba58cb0a641a141b1ba3151c70bcb83;"2012-07-05 12:19:08";93 
74631fcad6dce90ce3afe3e268de9c16;dc6da78dfc3c40c8cdde52dabe7b32d0;"2012-07-05 12:19:08";93 
ff1857a26104cf0a28145763e67facc3;6c3e226b4d4795d518ab341b0824ec29;"2012-07-05 12:22:21";20 
938b4a1742b8f37eed1428f3003f4f71;c3577c4450446537cca668e250128564;"2012-07-05 12:24:52";27 
5488e17db9e015b67c541653c5adbf1d;3f5693d1b8d4ac603d70fabf07846425;"2012-07-05 12:27:04";21 
5488e17db9e015b67c541653c5adbf1d;981330bbb5afb598fd326cc90848eef6;"2012-07-05 12:27:04";21 
56ef50fb31bbada0d8e2fc5b452eced6;95962af318393291d015d764417d9196;"2012-07-05 12:28:29";21 
74631fcad6dce90ce3afe3e268de9c16;159febd75df8dbfbf0ba0db46bfdb376;"2012-07-05 12:30:03";36 
74631fcad6dce90ce3afe3e268de9c16;a0b759266718ba1463df07aee203c24b;"2012-07-05 12:30:03";36 
74631fcad6dce90ce3afe3e268de9c16;3eec68cf7ee6d7e43b39872710447ae1;"2012-07-05 12:30:03";36 
74631fcad6dce90ce3afe3e268de9c16;78548d15a7a6e352dcc7a151728cf589;"2012-07-05 12:30:03";36 
